ALBUM.TRE	0		""
ALBUM.TRE	1		""
ALBUM.TRE	2		""
ALBUM.TRE	3		""
ALBUM.TRE	4		""
ALBUM.TRE	5		"אני... מלקולם,"
ALBUM.TRE	6		"ביום הולדתי"
ALBUM.TRE	7		"השלישי. איזו"
ALBUM.TRE	8		"מסיבה!"
ALBUM.TRE	9		""
ALBUM.TRE	10		"סבתא שלי,"
ALBUM.TRE	11		"המלכה מריה"
ALBUM.TRE	12		""
ALBUM.TRE	13		""
ALBUM.TRE	14		""
ALBUM.TRE	15		"סבא,"
ALBUM.TRE	16		"המלך גרגור,"
ALBUM.TRE	17		"שליטה הקודם"
ALBUM.TRE	18		"של קירנדיה"
ALBUM.TRE	19		""
ALBUM.TRE	20		"אמא,"
ALBUM.TRE	21		"טליה"
ALBUM.TRE	22		"נסיכת קירנדיה"
ALBUM.TRE	23		""
ALBUM.TRE	24		""
ALBUM.TRE	25		"דודה פלורין,"
ALBUM.TRE	26		"אחותה התאומה"
ALBUM.TRE	27		"של אמא"
ALBUM.TRE	28		""
ALBUM.TRE	29		""
ALBUM.TRE	30		"דוד ויקטור,"
ALBUM.TRE	31		"הנסיך"
ALBUM.TRE	32		"יפה התואר"
ALBUM.TRE	33		""
ALBUM.TRE	34		""
ALBUM.TRE	35		"אבא שלי,"
ALBUM.TRE	36		"היינוולד,"
ALBUM.TRE	37		"ליצן החצר הטוב "
ALBUM.TRE	38		"ביותר אי פעם"
ALBUM.TRE	39		"בקירנדיה!"
ALBUM.TRE	40		"דוד ג'והנס"
ALBUM.TRE	41		")נשוי"
ALBUM.TRE	42		"לדודה פלורין(,"
ALBUM.TRE	43		"ממשפחת"
ALBUM.TRE	44		"פנולו"
ALBUM.TRE	45		"חיליק פנולו"
ALBUM.TRE	46		"נחש זקן"
ALBUM.TRE	47		"ומסוכן!"
ALBUM.TRE	48		""
ALBUM.TRE	49		""
ALBUM.TRE	50		"בן הדוד ביל,"
ALBUM.TRE	51		"ידוע גם"
ALBUM.TRE	52		"כוויליאם"
ALBUM.TRE	53		"מלך קירנדיה"
ALBUM.TRE	54		""
ALBUM.TRE	55		"קייטי,"
ALBUM.TRE	56		"בתו של חיליק"
ALBUM.TRE	57		"נשואה לוויליאם!"
ALBUM.TRE	58		""
ALBUM.TRE	59		""
ALBUM.TRE	60		"ברנדון,"
ALBUM.TRE	61		"בנו של וויליאם,"
ALBUM.TRE	62		"נסיך קירנדיה"
ALBUM.TRE	63		""
ALBUM.TRE	64		""
ALBUM.TRE	65		"דוד אלכסנדר,"
ALBUM.TRE	66		"אחיו של אבא"
ALBUM.TRE	67		"פילוסוף"
ALBUM.TRE	68		"החקלאות."
ALBUM.TRE	69		"הזן את זרעיך!"
ALBUM.TRE	70		"בן דודי פסטר"
ALBUM.TRE	71		")בנו המאומץ"
ALBUM.TRE	72		"של אלכסנדר("
ALBUM.TRE	73		""
ALBUM.TRE	74		""
ALBUM.TRE	75		""
ALBUM.TRE	76		""
ALBUM.TRE	77		""
ALBUM.TRE	78		""
ALBUM.TRE	79		""
ALBUM.TRE	100		"היית ילד חמוד."
ALBUM.TRE	101		"באת ממשפחה טובה. מה קרה לך? חה!"
ALBUM.TRE	102		"חה! התאומים השובבים. לא פלא ששערו של גרגור הלבין!"
ALBUM.TRE	103		"תמיד חיבבתי את היינוולד."
ALBUM.TRE	104		"מעניין כמה נאלץ חיליק לשלם כדי להכניס את אחת מבנות משפחתו למשפחת המלוכה."
ALBUM.TRE	105		"את וויליאם תמיד חיבבתי. עליה, הייתי מוותר בשמחה."
ALBUM.TRE	106		"משהו אצל ברנדון תמיד גורם לי לרצות להרביץ לו."
ALBUM.TRE	107		"זה לא ההוא ששם זרעים מופרים מתחת לאמבטיה של חיליק?"
ALBUM.TRE	108		"חה! הזרעים צמחו כל כך מהר..."
ALBUM.TRE	109		"...שהם הפילו את האמבטיה עם חיליק בתוכה!"
ALTAR.TRE	0		"זה נראה כמו מזבח."
ALTAR.TRE	10		"האם זהו סמל שודדי ים?"
ALTAR.TRE	20		"בהחלט ג'ונגל סבוך."
ALTAR.TRE	30		"הרים מעניינים."
ALTAR.TRE	40		"אני תוהה למה נועדו החורים האלה?"
ALTAR.TRE	48		"ברוך שפטרנו."
ALTAR.TRE	50		"מדוע שמי קירנדיה אינם צלולים כמוהם?"
ALTAR.TRE	60		"אאוץ'!"
ALTAR.TRE	65		"נראה שהדג עזב."
ALTAR.TRE	70		"אין מצב! אני שונא לשחות."
ALTAR.TRE	80		"להתראות."
ALTAR.TRE	90		"אני לא הולך לזרוק את זה לים."
ALTAR.TRE	100		"לפחות הצלחתי להימלט מקירנדיה."
ALTAR.TRE	102		"עכשיו אוכל לתכנן את נקמתי המתוקה."
ALTAR.TRE	104		"אני לא מאמין שהם לא אהבו את הלהטוטנות שלי."
ALTAR.TRE	106		"אני שואל את עצמי איך הם גילו שאני לא הקברניט."
ALTAR.TRE	108		"אולי בגלל ה...תקרית הזו."
ALTAR.TRE	110		"נו, שיהיה. עכשיו אני יכול לתכנן את נקמתי המתוקה."
ALTAR.TRE	120		"אני תוהה אם אמורים להניח משהו על המזבח?"
ALTAR.TRE	125		"בואו ננסה את היהלום הזה על המזבח."
ALTAR.TRE	130		"דבר לא אירע."
ALTAR.TRE	250		"מיאו, מיאו!"
ALTAR.TRE	270		"אני נראית לך צמחונית?"
ALTAR.TRE	272		"לא תודה, אני לא פראייר."
ALTAR.TRE	274		"הו!"
ALTAR.TRE	276		"עכשיו זה לא הזמן למשחקים."
ALTAR.TRE	278		"הוא לא יתן לי לדוג."
ALTAR.TRE	280		"אתה לא משגיח על הכלים שלך כראוי, אה?"
ALTAR.TRE	282		"לא תודה."
ALTAR.TRE	284		"למה שארצה את זה?"
ALTAR.TRE	286		"תודה."
ALTAR.TRE	288		"אני לא לועס, תודה לך."
ALTAR.TRE	290		"לא. תעשה את זה בעצמך אם אתה כל כך אוהב את זה."
ALTAR.TRE	292		"אני לא כלב, אדוני!"
