ALCHEMY.EMC	"נראה לי שאני מעדיף להיות בפנים."
ALCHEMY.EMC	"מזכיר מאד את כל החפצים המיותרים של זאנתיה."
ALCHEMY.EMC	"אני חושב שזה ללא ספק היה חדר השינה של זאנתיה."
ALCHEMY.EMC	"חדר שינה"
ALCHEMY.EMC	"זה בטח נראה טוב בשיערה של זאנתיה."
ALGAE.EMC	"איך הוא עשה את זה?"
ALGAE.EMC	"שום דבר לא יכול להיות קליל?"
ALGAE.EMC	"מעיין הרוס"
ALGAE.EMC	"הנה הלכו להם הכישופים."
ALTAR.EMC	"אאוץ' ! מקווה שזה מה שברין רצתה!"
ALTAR.EMC	" אאוץ'! "
ALTAR.EMC	"קוצים מעצבנים!"
ALTAR.EMC	"אקח זר שלם של כאלה."
ALTAR.EMC	"כבר לקחתי את השושנה שהייתה שם."
ALTAR.EMC	"חסר איזשהו חלק?"
ALTAR.EMC	"מתאים בדיוק, אפילו בלי דבק!"
ALTAR.EMC	"   היי!  התאמה מושלמת!    "
ALTAR.EMC	"בטוח שתיקנתי את זה!"
ALTAR.EMC	"יכול להיות שהוא מקולקל?"
ALTAR.EMC	"המזבח מקרין קסם עוצמתי."
ALTAR.EMC	"   וואו!"
ALTAR.EMC	"זה בוודאי הקמע!"
ALTAR.EMC	"היי, זה הולך להיות כל כך קל!"
ALTAR.EMC	"פעם המזבח הזה היה זורח באור קסום."
ALTAR.EMC	"הממ... זה מהמהם."
ALTAR.EMC	"זו בהחלט זריחה בריאה!"
ALTAR.EMC	"מזבח יער"
ARCH.EMC	"אוף!  כמה הייתי רוצה לשלוף אחד מהם החוצה!"
ARCH.EMC	"מערת הדמדומים"
ARCH.EMC	"אחח!"
ARCH.EMC	"התחלתי לחשוב שכבר לא אצא משם."
BALCONY.EMC	"הממ.  לא כלום!"
BALCONY.EMC	"התכנון של הבניין הזה מוזר!"
BALCONY.EMC	"אני לא מתכוון לקפוץ את כל הדרך למטה!"
BALCONY.EMC	"ההיכל האדיר"
