ALLEY.EMC	"מתחילים. בטח גם החשבון כולל שירות."
ALLEY.EMC	"זה מעלה בי זכרונות לא טובים."
ALLEY.EMC	"ZANALDOR.WSA"
ALLEY.EMC	"איזה אידיוט ינעל דלת של בית מרזח?"
ALLEY.EMC	"הנה. זה פתח את הנעילה."
ALLEY.EMC	"זה בטח 'הדרקון השיכור.'"
ALLEY.EMC	"""חברת החרדל מרי מרסייה"""
ALLEY.EMC	"היי, אלו לא אוניות..."
ALLEY.EMC	"אלה רק מקלות תקועים בבוץ!"
ALLEY.EMC	"שתיה ודרקונים לא הולכים ביחד."
ALLEY.EMC	"איזו אינסטלציה מפונפנת!"
ALLEY.EMC	"היי ילדונת, רוצה לנסות את מזלך?"
ALLEY.EMC	"צריך רק למצוא את האפונה."
ALLEY.EMC	"מה יכול להיות קל יותר?"
ALLEY.EMC	"רואה?"
ALLEY.EMC	"הכפילי את כספך!"
ALLEY.EMC	"רוצה לשחק?"
ALLEY.EMC	"תשכחי מזה גברת..."
ALLEY.EMC	"את תביאי אותי לידי פשיטת רגל!"
ALLEY.EMC	"כדאי לך להשתמש בקמיע מזל."
ALLEY.EMC	"ידעתי שתרצי לנסות את מזלך..."
ALLEY.EMC	"אז בואי נתחיל..."
ALLEY.EMC	"שימי עין על האפונה."
ALLEY.EMC	"בחרי צדפה, כל צדפה."
ALLEY.EMC	"המשחק שלך הוא בינגו, אה?"
ALLEY.EMC	"אם נראה לך שזה יעזור, את יכולה לשים את קמיע המזל שלך איפה שתרצי..."
ALLEY.EMC	"אני משחק רק בתמורה לזהב."
ALLEY.EMC	"לא עכשיו, מותק."
ALLEY.EMC	"רק בחרי צדפה."
ALLEY.EMC	"יא חת'כת נבלה מזליסטית!"
ALLEY.EMC	"לא יכול להיות!"
ALLEY.EMC	"הנה הכסף המסריח שלך!"
ALLEY.EMC	"פשוט קחי את המזומנים ולכי!"
ALLEY.EMC	"אווווו, כמה חבל."
ALLEY.EMC	"הניחי את זה ובחרי צדפה!"
ALLEY.EMC	"מריח כמו הים."
ALLEY.EMC	"ALLEY"
ALLEY.EMC	"AL_BLUE.WSA"
ALLEY.EMC	"AL_CYAN.WSA"
ALLEY.EMC	"AL_GREEN.WSA"
ALLEY.EMC	"AL_ORNGE.WSA"
ALLEY.EMC	"AL_PINK.WSA"
ALLEY.EMC	"AL_RED.WSA"
ALLEY.EMC	"AL_YELLO.WSA"
ALLEY.EMC	"OCTOPUS.WSA"
ALTAR.EMC	"איני בטוחה שזה המקום הנכון."
ALTAR.EMC	"למה שהם יבנו מקום כזה?"
ALTAR.EMC	"האם זהו שער דה פתי-מאמין?"
ALTAR.EMC	"בחיי, השמיים מקסימים היום."
ALTAR.EMC	"איזה מבנה מדהים!"
ALTAR.EMC	"מזבח נאה."
ALTAR.EMC	"ועכשיו זה שיקוי הטלת ספק מושלם."
ALTAR.EMC	"אני לא חושבת שהמזבח הוא המקום הנכון בשביל זה."
ALTAR.EMC	"אני תוהה..."
ALTAR.EMC	"ALTAR.WSA"
ANCHOR.EMC	"""אבן אחת בלבד לכל לקוח."""
ANCHOR.EMC	"אבן עוגן!"
ANCHOR.EMC	"כבר לקחתי אחת כזאת."
ANCHOR.EMC	"אני לא צריכה כזה."
ANCHOR.EMC	"המממם. עוד סלעים, עוד פתחי אוורור... אני תוהה..."
ANCHOR.EMC	"המממם. פתח אוורור."
ANCHOR.EMC	"הוא מחובר."
ANCHOR.EMC	"JESSANCR.WSA"
ANCHOR.EMC	"הצלחתי!"
ANCHOR.EMC	"מצאתי!"
ANCHOR.EMC	"היי! זהירות!"
ANCHOR.EMC	"פרחה!"
ANCHOR.EMC	"בואי בואי!"
ANCHOR.EMC	"את לא תעזי."
ANCHOR.EMC	"זאנתיה!"
ANCHOR.EMC	"תודה לאל שמצאתי אותך!"
ANCHOR.EMC	"הבעיה האמיתית לא קשורה בכלל לאבני העוגן המטופשות האלו!"
ANCHOR.EMC	"מרקו!"
ANCHOR.EMC	"מה זאת אומרת?"
ANCHOR.EMC	"ואיך פתחת את הפורטל הזה?"
ANCHOR.EMC	"הזדרזי ובואי הנה..."
ANCHOR.EMC	"אנחנו חייבים לעלות אל גלגלי הגורל."
ANCHOR.EMC	"זו הסיבה שהכל נעלם!"
ANCHOR.EMC	"אההה!"
ANCHOR.EMC	"מרקו..."
ANCHOR.EMC	"הוא ממש חמוד!"
ANCHOR.EMC	"ביוש!"
ANCHOR.EMC	"אוי לא!"
ANCHOR.EMC	"איזה חדר מוזר בשביל מזבח."
ANCHOR.EMC	"כדאי שאקח את פיסת הקלף הזאת איתי."
ANCHOR.EMC	"עדיף שאחזיר את הדף הזה לספר הלחשים שלי קודם."
ANCHOR.EMC	"זה חתיכת עוגן ענקי!"
ANCHOR.EMC	"אני חושבת שהגיע הזמן לצלצל לפאון שוב."
ANCHOR.EMC	"זאנתיה לפאון... זאנתיה לפאון..."
ANCHOR.EMC	"ANCHOR.WSA"
ANCHOR.EMC	"PLUG_ANK.WSA"
BRIDGE.EMC	"בא לי להעיף לאביר הזה אגרוף לפרצוף."
BRIDGE.EMC	"לא הייתי עושה זאת אם הייתי במקומך."
BRIDGE.EMC	"לי יש שריון. לך יש מכנסונים."
BRIDGE.EMC	"KNIT"
BRIDGE.EMC	"כבר יש לי כדור שלג."
BRIDGE.EMC	"יש פה כדור שלג נח על האדמה."
BRIDGE.EMC	"השארתי כדור שלג על האדמה איפה שהוא."
BRIDGE.EMC	"איזה ג'נטלמן."
BRIDGE.EMC	"זה מטופש."
BRIDGE.EMC	"זה נהיה ממש מגוחך."
BRIDGE.EMC	"הלוואי שהילד-טוב-ירושלים הזה ימצא קורבן אחר למעשיו הטובים."
BRIDGE.EMC	"SNOWMAN1.WSA"
BRIDGE.EMC	"KNGHTSNW.WSA"
BRIDGE.EMC	"KNI2"
BRIDGE.EMC	"נשבר לי!"
BRIDGE.EMC	"אני הולך לעבוד במקום שבו יעריכו אותי."
BRIDGE.EMC	"פוייייי עובש רירי!"
BRIDGE.EMC	"איכס. אלה אצות."
BRIDGE.EMC	"המממם. רטוב מדי."
BRIDGE.EMC	"המממם. יבש מדי."
BRIDGE.EMC	"אני חייבת לראות את זה שוב."
BRIDGE.EMC	"אלווה כל אחד..."
BRIDGE.EMC	"...אפילו איש שלג."
BRIDGE.EMC	"לא, תודה לך. אני במשמרת."
BRIDGE.EMC	"נראה שיש פה איגוד גננים."
BRIDGE.EMC	"המממם. טחב."
BRIDGE.EMC	"המממם. עוד טחב."
BRIDGE.EMC	"זה לא הסמל של ריצ'רד איש גלאדסטון?"
BRIDGE.EMC	"יש שם טרולים למטה?"
BRIDGE.EMC	"יש חפרפרות כאן למעלה?"
BRIDGE.EMC	"מה זה? ארמון חול?"
BRIDGE.EMC	"אגוז לוז."
BRIDGE.EMC	"כבר יש שם משהו בפנים."
BRIDGE.EMC	"נראה כמו עבודה של אדריכלי פיזה."
BRIDGE.EMC	"אני לא רוצה להחביא את זה שם!"
BRIDGE.EMC	"וואו, איזו זכוכית ישנה."
BRIDGE.EMC	"אל תגידו לי שיש כאן למעלה מערכת ביוב."
BRIDGE.EMC	"KNGHTZAN.WSA"
BRIDGE.EMC	"ROLLROCK.WSA"
CELLAR.EMC	"אלה נראים מסוכנים."
CELLAR.EMC	"פרסה ישנה."
CELLAR.EMC	"פרסה."
CELLAR.EMC	"""מכונת גבינה א.ק.מ.י"""
CELLAR.EMC	"אני תוהה בת כמה מכונת הגבינה הזאת?"
CELLAR.EMC	"עכשיו יש חלב בפנים."
CELLAR.EMC	"בואו ננסה עכשיו."
CELLAR.EMC	"אני לא רוצה לשים את זה שם."
CELLAR.EMC	"זה נראה כמו הסוג של העכברוש ההוא."
CELLAR.EMC	"לא יצאה משם שום גבינה."
CELLAR.EMC	"זאת צ'דר או גאודה?"
