CH01-S00.DLE	160	12	0	"אני בדרכי לגעשיה."
CH01-S00.DLE	160	12	1	"מישהו גנב את כל הציוד שלי..."
CH01-S00.DLE	160	12	2	"...אז אאלץ להגיע לשם בדרך המיושנת."
CH01-S00.DLE	160	12	3	"אני לא יכולה לפתוח פורטלים."
CH01-S00.DLE	160	13	4	"בלי פורטלים?"
CH01-S00.DLE	160	13	5	"את מתכוונת לעבור את כל הדרך ברגל?"
CH01-S00.DLE	160	12	6	"כיף, אה?"
CH01-S00.DLE	160	10	6	""
CH01-S00.DLE	365	12	7	"ובכן... נתראה כשאחזור."
CH01-S00.DLE	365	13	8	"אוקיי."
CH01-S00.DLE	365	10	7	""
CH01-S00.DLE	409	12	9	"תוכל לשים עין על פאון?"
CH01-S00.DLE	409	13	10	"בטח."
CH01-S00.DLE	409	10	5	""
CH01-S00.DLE	451	12	11	"היוש ברות'. מתי הרפסודה שלך יוצאת?"
CH01-S00.DLE	451	12	12	"אני חייבת להגיע לערפילי בוקר."
CH01-S00.DLE	451	18	13	"נצא ברגע שתשלמי את מחיר המסע."
CH01-S00.DLE	451	12	14	"היי! נשדדתי, ואין לי כסף כרגע."
CH01-S00.DLE	451	18	15	"את האלכימאית. פשוט תעשי זהב."
CH01-S00.DLE	451	4	1	""
CH01-S00.DLE	451	10	6	""
CH01-S00.DLE	639	10	7	""
CH01-S00.DLE	643	10	5	""
CH01-S00.DLE	647	12	16	"סלח לי..."
CH01-S00.DLE	647	12	17	"הסירה הזאת אינה המעבורת החדשה, נכון?"
CH01-S00.DLE	647	16	18	"ששששששש! הרגשתי ביס!"
CH01-S00.DLE	647	10	6	""
CH01-S00.DLE	734	17	19	"ששששששש! כרסום!"
CH01-S00.DLE	734	10	7	""
CH01-S00.DLE	759	16	20	"ששששששש! אני חושב שהוא לועס את הפתיון."
CH01-S00.DLE	759	10	5	""
CH01-S00.DLE	807	12	21	"המממם, כנראה שהבושם שלי לא לטעמו היום."
CH01-S00.DLE	807	10	6	""
CH01-S00.DLE	855	12	22	"אני ממש חייבת לעשב פה מתי שהוא."
CH01-S00.DLE	855	10	7	""
CH01-S00.DLE	896	12	23	"למרות שזה שומר את הסנאים למטה על האדמה."
CH01-S00.DLE	896	10	5	""
CH01-S00.DLE	945	20	24	"לאן את חושבת שאת הולכת?"
CH01-S00.DLE	945	12	25	"זוז, הבל פה גבינתי.  אין לי זמן לזה."
CH01-S00.DLE	945	20	26	"את לא תעברי אותי, גברת!"
CH01-S00.DLE	945	10	6	""
CH01-S00.DLE	1049	12	27	"אני מריחה גבינה, או שזה רק אתה?"
CH01-S00.DLE	1049	20	28	"לא שמתי לב לזה לפני שהגעת לכאן."
CH01-S00.DLE	1049	10	7	""
CH01-S00.DLE	1127	20	29	"עופי מפה, בלונדה!"
CH01-S00.DLE	1127	12	30	"אאוץ'!"
CH01-S00.DLE	1127	10	5	""
CH01-S00.DLE	1166	10	6	""
CH01-S00.DLE	1170	10	7	""
CH01-S00.DLE	1174	10	5	""
CH01-S00.DLE	1178	12	31	"אתה תישאר כאן פאון."
CH01-S00.DLE	1178	22	32	"טוב."
CH01-S00.DLE	1178	10	6	""
CH01-S00.DLE	1217	12	33	"אל תתעסק בדברים שלי כשאינני כאן!"
CH01-S00.DLE	1217	22	34	"מי, אני?"
CH01-S00.DLE	1217	10	7	""
